,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.6517504036927367,0.6517504036927367,0.6517504036927367,0.6517504036927367,0.5990434001027222,0.5990434001027222,0.5990434001027222,0.5990434001027222,0.5221719457013575,0.5221719457013575,0.5221719457013575,0.5221719457013575
case,LC0,0.7263872201900072,0.6232618453865337,0.668637902015603,400.8,0.6728038353850124,0.5745544554455446,0.6161483604517437,100.2,0.600414274287816,0.4624,0.5191109250562529,125.0
control,LC0,0.5841423404205643,0.6891996142719383,0.63076644323303,305.6,0.5342681166360679,0.6304169514695831,0.5751330408617615,76.4,0.4626946569223881,0.6,0.5208087844271287,96.0
macro avg,LC0,0.6552647803052858,0.656230729829236,0.6497021726243165,706.4,0.6035359760105401,0.6024857034575638,0.5956407006567526,176.6,0.5315544656051021,0.5312,0.5199598547416908,221.0
weighted avg,LC0,0.6648618012949891,0.6517504036927367,0.6522411066861888,706.4,0.6127998660858148,0.5990434001027222,0.5985315435371913,176.6,0.5405903681019288,0.5221719457013575,0.5198484567286695,221.0
accuracy,LC10,0.6500651117317316,0.6500651117317316,0.6500651117317316,0.6500651117317316,0.6069658448895737,0.6069658448895737,0.6069658448895737,0.6069658448895737,0.5058823529411764,0.5058823529411764,0.5058823529411764,0.5058823529411764
case,LC10,0.7135619625952996,0.644213216957606,0.6743596060960522,400.8,0.6725945410559782,0.6027722772277228,0.6346610973647555,100.2,0.5701687986799312,0.5152,0.5398862137459015,125.0
control,LC10,0.588754924515553,0.6576384870888246,0.6180563445042708,305.6,0.5401079039505803,0.6125768967874231,0.573013734867821,76.4,0.4385026983536626,0.49375,0.4630621513215017,96.0
macro avg,LC10,0.6511584435554263,0.6509258520232153,0.6462079753001614,706.4,0.6063512225032792,0.6076745870075729,0.6038374161162883,176.6,0.504335748516797,0.504475,0.5014741825337016,221.0
weighted avg,LC10,0.6595551983379516,0.6500651117317316,0.6500173659102484,706.4,0.6152947032376079,0.6069658448895737,0.6079755797861061,176.6,0.5129744745563033,0.5058823529411764,0.506514675317203,221.0
accuracy,LC11,0.6758173024910746,0.6758173024910746,0.6758173024910746,0.6758173024910746,0.614952491011813,0.614952491011813,0.614952491011813,0.614952491011813,0.4687782805429863,0.4687782805429863,0.4687782805429863,0.4687782805429863
case,LC11,0.7573989312523157,0.6332456359102244,0.6883288830430264,400.8,0.6921958816971605,0.5827722772277227,0.6311245695839558,100.2,0.5403637511137511,0.4256,0.4756456783495666,125.0
control,LC11,0.604405974121814,0.7317261330761813,0.6609795447130093,305.6,0.5459031817855348,0.6567327409432673,0.5949436292250663,76.4,0.4109411315956771,0.525,0.4606859196577106,96.0
macro avg,LC11,0.6809024526870648,0.6824858844932028,0.6746542138780179,706.4,0.6190495317413476,0.6197525090854951,0.6130340994045111,176.6,0.475652441354714,0.4753,0.4681657990036386,221.0
weighted avg,LC11,0.6912240423645553,0.6758173024910746,0.6764866890563778,706.4,0.6288721892680669,0.614952491011813,0.6155473044531072,176.6,0.4841439706896103,0.4687782805429863,0.4691473216327423,221.0
accuracy,LC12,0.6545824635073787,0.6545824635073787,0.6545824635073787,0.6545824635073787,0.5674242424242424,0.5674242424242424,0.5674242424242424,0.5674242424242424,0.4823529411764705,0.4823529411764705,0.4823529411764705,0.4823529411764705
case,LC12,0.7170192071302546,0.6461970074812967,0.6795571257673684,400.8,0.6323548976131472,0.5690495049504951,0.5975489510526056,100.2,0.5441257985706158,0.5168,0.5298505864200531,125.0
control,LC12,0.5896699492255044,0.6655651987570985,0.6251101039416556,305.6,0.501098837493303,0.5654135338345865,0.5298337875036925,76.4,0.4107422673037215,0.4375,0.4234180633644661,96.0
macro avg,LC12,0.6533445781778795,0.6558811031191976,0.652333614854512,706.4,0.5667268675532251,0.5672315193925408,0.5636913692781491,176.6,0.4774340329371687,0.4771500000000001,0.4766343248922596,221.0
weighted avg,LC12,0.6619246179762557,0.6545824635073787,0.6560050513611617,706.4,0.5755785331156043,0.5674242424242424,0.5682317916881906,176.6,0.4861854410972137,0.4823529411764705,0.4836174542330108,221.0
