,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.5498287060595983,0.5498287060595983,0.5498287060595983,0.5498287060595983,0.4993836671802773,0.4993836671802773,0.4993836671802773,0.4993836671802773,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
case,LC0,0.6010048908995352,0.6167830423940149,0.6083073340405205,400.8,0.553451930738588,0.579049504950495,0.5646791891988754,100.2,0.5797354248272241,0.6096,0.5942495518061295,125.0
control,LC0,0.4787116392358904,0.4620186435229829,0.4695199605981474,305.6,0.4235829092732654,0.3953520164046479,0.4070783592435941,76.4,0.4557547356586789,0.425,0.4397705331073127,96.0
macro avg,LC0,0.5398582650677128,0.5394008429584989,0.5389136473193339,706.4,0.4885174200059267,0.4872007606775715,0.4858787742212347,176.6,0.5177450802429515,0.5173,0.5170100424567211,221.0
weighted avg,LC0,0.5481007077986385,0.5498287060595983,0.5482661906349506,706.4,0.4972984765193014,0.4993836671802773,0.4964142390563214,176.6,0.5258795598490326,0.5294117647058824,0.5271455436835666,221.0
accuracy,LC10,0.5404802641332527,0.5404802641332527,0.5404802641332527,0.5404802641332527,0.4802067282999486,0.4802067282999486,0.4802067282999486,0.4802067282999486,0.5085972850678733,0.5085972850678733,0.5085972850678733,0.5085972850678733
case,LC10,0.6203098911941476,0.4954775561097256,0.5494029599969813,400.8,0.5534641183004678,0.4232871287128713,0.4783147157922131,100.2,0.587534503450345,0.4464,0.5059242296681112,125.0
control,LC10,0.4749152830721617,0.5994492660452159,0.5289974506830222,305.6,0.4238987921441337,0.5549213943950786,0.4798432324540108,76.4,0.4493029924051525,0.5895833333333333,0.5091746342314278,96.0
macro avg,LC10,0.5476125871331547,0.5474634110774708,0.5392002053400018,706.4,0.4886814552223008,0.4891042615539749,0.4790789741231119,176.6,0.5184187479277488,0.5179916666666667,0.5075494319497695,221.0
weighted avg,LC10,0.5574064529736069,0.5404802641332527,0.5405853993197329,706.4,0.4974253143809152,0.4802067282999486,0.4789678187742271,176.6,0.5274882362089944,0.5085972850678733,0.5073361701119048,221.0
accuracy,LC11,0.5744645812213759,0.5744645812213759,0.5744645812213759,0.5744645812213759,0.5300398048279404,0.5300398048279404,0.5300398048279404,0.5300398048279404,0.4895927601809954,0.4895927601809954,0.4895927601809954,0.4895927601809954
case,LC11,0.6419165741621203,0.5658703241895262,0.6014724356775394,400.8,0.5968243463987246,0.528930693069307,0.5598553765776861,100.2,0.5595437559736794,0.4608,0.5050977360704436,125.0
control,LC11,0.5069646236436746,0.5857409193185471,0.5434886404483328,305.6,0.462928013196584,0.531373889268626,0.493872673107346,76.4,0.4285348273101567,0.5270833333333333,0.4725181056260076,96.0
macro avg,LC11,0.5744405989028973,0.5758056217540366,0.5724805380629361,706.4,0.5298761797976543,0.5301522911689666,0.526864024842516,176.6,0.494039291641918,0.4939416666666666,0.4888079208482255,221.0
weighted avg,LC11,0.583534984110847,0.574464581221376,0.5763870838479243,706.4,0.538905632407829,0.5300398048279404,0.531339740556665,176.6,0.5026349000836424,0.4895927601809954,0.4909454984113221,221.0
accuracy,LC12,0.559172740422565,0.559172740422565,0.559172740422565,0.559172740422565,0.4948574730354391,0.4948574730354391,0.4948574730354391,0.4948574730354391,0.497737556561086,0.497737556561086,0.497737556561086,0.497737556561086
case,LC12,0.6202835766169315,0.5748678304239402,0.5965715983044277,400.8,0.5608911435408712,0.505009900990099,0.5313615731816493,100.2,0.5591079175360564,0.5232,0.5402985843212085,125.0
control,LC12,0.491586185627843,0.5386113789778206,0.5138685593766956,305.6,0.4258113704090715,0.4814764183185235,0.4518213256350272,76.4,0.4290730056643231,0.4645833333333333,0.4458449057329529,96.0
macro avg,LC12,0.5559348811223873,0.5567396047008805,0.5552200788405617,706.4,0.4933512569749714,0.4932431596543113,0.4915914494083383,176.6,0.4940904616001898,0.4938916666666667,0.4930717450270807,221.0
weighted avg,LC12,0.564609065625014,0.559172740422565,0.560789011081291,706.4,0.502466382148237,0.4948574730354391,0.4969718829124628,176.6,0.5026221639628148,0.497737556561086,0.4992689320837762,221.0
