,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.6135292161348874,0.6135292161348874,0.6135292161348874,0.6135292161348874,0.5334296353364151,0.5334296353364151,0.5334296353364151,0.5334296353364151,0.5321266968325793,0.5321266968325793,0.5321266968325793,0.5321266968325793
case,LC0,0.667298453966336,0.6407331670822943,0.6521425651127364,400.8,0.5977942211521692,0.5588118811881188,0.5748682189668813,100.2,0.5924252507458614,0.5599999999999999,0.5739059948755306,125.0
control,LC0,0.5516138843561544,0.577959927140255,0.5625263653206637,305.6,0.4603855880811273,0.499419002050581,0.4761718050686794,76.4,0.4633360568110853,0.4958333333333333,0.4770320983478722,96.0
macro avg,LC0,0.6094561691612452,0.6093465471112747,0.6073344652167,706.4,0.5290899046166482,0.5291154416193499,0.5255200120177804,176.6,0.5278806537784734,0.5279166666666667,0.5254690466117015,221.0
weighted avg,LC0,0.6172621139214819,0.6135292161348874,0.6133549548063674,706.4,0.5383533494882673,0.5334296353364151,0.532328945507371,176.6,0.5363503067741939,0.5321266968325793,0.5318250262481315,221.0
accuracy,LC10,0.6242888797175954,0.6242888797175954,0.6242888797175954,0.6242888797175954,0.5809257832562917,0.5809257832562917,0.5809257832562917,0.5809257832562917,0.5194570135746607,0.5194570135746607,0.5194570135746607,0.5194570135746607
case,LC10,0.6731542051319962,0.662715710723192,0.6658084881585674,400.8,0.6363465809151034,0.6085940594059406,0.6180036983668697,100.2,0.5758318507157679,0.5680000000000001,0.5696353139960575,125.0
control,LC10,0.5663073905375118,0.5740083574413373,0.5669949522269899,305.6,0.5211705939615301,0.54419002050581,0.5260931415943351,76.4,0.4489612118329739,0.45625,0.4496517047390707,96.0
macro avg,LC10,0.619730797834754,0.6183620340822646,0.6164017201927787,706.4,0.5787585874383167,0.5763920399558753,0.5720484199806024,176.6,0.5123965312743709,0.512125,0.5096435093675641,221.0
weighted avg,LC10,0.6269424193373955,0.6242888797175954,0.6230403170939157,706.4,0.5864817652991066,0.5809257832562917,0.5783208851830535,176.6,0.5207206229657759,0.5194570135746607,0.5175157371242441,221.0
accuracy,LC11,0.6200468003093308,0.6200468003093308,0.6200468003093308,0.6200468003093308,0.545814072932717,0.545814072932717,0.545814072932717,0.545814072932717,0.4642533936651583,0.4642533936651583,0.4642533936651583,0.4642533936651583
case,LC11,0.6847762881312499,0.6142655860349128,0.6467280705322296,400.8,0.6066983620541224,0.5608514851485149,0.5813732290067632,100.2,0.5323489700535232,0.4464,0.4848140623266535,125.0
control,LC11,0.5540867150654426,0.6275816993464052,0.5876972430016296,305.6,0.47964291173167,0.5260082023239918,0.5001912964174611,76.4,0.402396504613639,0.4875,0.4402877844069033,96.0
macro avg,LC11,0.6194315015983463,0.620923642690659,0.6172126567669297,706.4,0.5431706368928962,0.5434298437362532,0.5407822627121122,176.6,0.4673727373335811,0.4669499999999999,0.4625509233667784,221.0
weighted avg,LC11,0.6282333292413128,0.6200468003093308,0.6211982816906699,706.4,0.5517379114590331,0.545814072932717,0.5462736038678966,176.6,0.4758990303149309,0.4642533936651583,0.4654723307416036,221.0
accuracy,LC12,0.6027835766174756,0.6027835766174756,0.6027835766174756,0.6027835766174756,0.5662557781201849,0.5662557781201849,0.5662557781201849,0.5662557781201849,0.4769230769230769,0.4769230769230769,0.4769230769230769,0.4769230769230769
case,LC12,0.6850103245539917,0.55492144638404,0.612294396149084,400.8,0.6456900965219229,0.528970297029703,0.5795674828083983,100.2,0.5435509494577139,0.4656,0.5010365361977426,125.0
control,LC12,0.5336710403539605,0.6656080574306225,0.5918396339228778,305.6,0.4982209877350064,0.6149008885850991,0.5489824898785259,76.4,0.4141700609540697,0.4916666666666666,0.4492111771123512,96.0
macro avg,LC12,0.6093406824539762,0.6102647519073312,0.6020670150359809,706.4,0.5719555421284646,0.571935592807401,0.5642749863434621,176.6,0.4788605052058917,0.4786333333333333,0.4751238566550469,221.0
weighted avg,LC12,0.6195436120643418,0.6027835766174756,0.6034362771968618,706.4,0.5818851776576283,0.5662557781201849,0.566388694347992,176.6,0.4873492965330538,0.4769230769230769,0.478524163020378,221.0
