,LC,precision,recall,f1-score,support
accuracy,LC0,0.5498287060595983,0.5498287060595983,0.5498287060595983,0.5498287060595983
case,LC0,0.6010048908995352,0.6167830423940149,0.6083073340405205,400.8
control,LC0,0.4787116392358904,0.4620186435229829,0.4695199605981474,305.6
macro avg,LC0,0.5398582650677128,0.5394008429584989,0.5389136473193339,706.4
weighted avg,LC0,0.5481007077986385,0.5498287060595983,0.5482661906349506,706.4
accuracy,LC10,0.5404802641332527,0.5404802641332527,0.5404802641332527,0.5404802641332527
case,LC10,0.6203098911941476,0.4954775561097256,0.5494029599969813,400.8
control,LC10,0.4749152830721617,0.5994492660452159,0.5289974506830222,305.6
macro avg,LC10,0.5476125871331547,0.5474634110774708,0.5392002053400018,706.4
weighted avg,LC10,0.5574064529736069,0.5404802641332527,0.5405853993197329,706.4
accuracy,LC11,0.5744645812213759,0.5744645812213759,0.5744645812213759,0.5744645812213759
case,LC11,0.6419165741621203,0.5658703241895262,0.6014724356775394,400.8
control,LC11,0.5069646236436746,0.5857409193185471,0.5434886404483328,305.6
macro avg,LC11,0.5744405989028973,0.5758056217540366,0.5724805380629361,706.4
weighted avg,LC11,0.583534984110847,0.574464581221376,0.5763870838479243,706.4
accuracy,LC12,0.559172740422565,0.559172740422565,0.559172740422565,0.559172740422565
case,LC12,0.6202835766169315,0.5748678304239402,0.5965715983044277,400.8
control,LC12,0.491586185627843,0.5386113789778206,0.5138685593766956,305.6
macro avg,LC12,0.5559348811223873,0.5567396047008805,0.5552200788405617,706.4
weighted avg,LC12,0.564609065625014,0.559172740422565,0.560789011081291,706.4
accuracy,LC13,0.5721918812682564,0.5721918812682564,0.5721918812682564,0.5721918812682564
case,LC13,0.6378421943917558,0.5688753117206982,0.6013418945532852,400.8
control,LC13,0.5050231480019909,0.5765520197149898,0.538377562446892,305.6
macro avg,LC13,0.5714326711968734,0.572713665717844,0.5698597285000886,706.4
weighted avg,LC13,0.580384264986275,0.5721918812682564,0.5741011450192547,706.4
accuracy,LC14,0.5526675775630983,0.5526675775630983,0.5526675775630983,0.5526675775630983
case,LC14,0.624347501657168,0.5319376558603491,0.5744028557037272,400.8
control,LC14,0.4855872099666523,0.5798478517089896,0.5285100145934919,305.6
macro avg,LC14,0.5549673558119101,0.5558927537846694,0.5514564351486095,706.4
weighted avg,LC14,0.5643179188733541,0.5526675775630983,0.5545506497722476,706.4
accuracy,LC15,0.5495454199406181,0.5495454199406181,0.5495454199406181,0.5495454199406181
case,LC15,0.6252712170333556,0.5169825436408978,0.564929971374755,400.8
control,LC15,0.4832025143127512,0.5923411550412514,0.5314978639539982,305.6
macro avg,LC15,0.5542368656730534,0.5546618493410747,0.5482139176643767,706.4
weighted avg,LC15,0.5638148601618046,0.5495454199406181,0.5504497188690367,706.4
accuracy,LC16,0.5628466448425498,0.5628466448425498,0.5628466448425498,0.5628466448425498
case,LC16,0.6302983008657617,0.5548902743142146,0.5901328683876377,400.8
control,LC16,0.4955964519369056,0.5732797599914283,0.5315597364999809,305.6
macro avg,LC16,0.5629473764013336,0.5640850171528214,0.5608463024438093,706.4
weighted avg,LC16,0.5720247287858073,0.5628466448425499,0.5647938813380607,706.4
accuracy,LC17,0.5651089269185923,0.5651089269185923,0.5651089269185923,0.5651089269185923
